analysis,shift,interval,k,env_steps,e_total,drift_over_spread,shift_over_spread,natural_spread,bias_fraction,bias_norm,bias_cos_adjacent_k,bias_cos_to_final_k,participation_ratio,top10_dim_share,pred_norm,true_norm,norm_ratio
drift_structure,visual,1,2,10,0.11613857746124268,0.375114381313324,,0.30960842967033386,0.09906543046236038,1.4862775802612305,0.9865455031394958,0.9350189566612244,171.0806121826172,0.09961457550525665,8.560274124145508,8.859641075134277,0.9662100076675415
drift_structure,visual,1,3,15,0.11466234177350998,0.3764054775238037,,0.3046245276927948,0.09873437881469727,1.4743317365646362,0.9742053151130676,0.9108622074127197,172.00711059570312,0.09780657291412354,8.563760757446289,8.772088050842285,0.9762511253356934
drift_structure,visual,1,4,20,0.11010273545980453,0.35401371121406555,,0.3110126256942749,0.10108595341444016,1.4618239402770996,0.9491022825241089,0.9604776501655579,173.15972900390625,0.09469649940729141,8.322169303894043,8.83985710144043,0.9414370656013489
drift_structure,visual,1,5,25,0.1075814887881279,0.34528785943984985,,0.3115704357624054,0.10267827659845352,1.4563262462615967,0.9884521961212158,0.9728339314460754,171.13406372070312,0.09976378828287125,8.412075996398926,8.8295316696167,0.9527205228805542
drift_structure,visual,1,6,30,0.10451874136924744,0.3333889842033386,,0.3135038912296295,0.10301226377487183,1.4377790689468384,0.9881767630577087,0.9718009829521179,172.2313690185547,0.09353743493556976,8.39118480682373,8.8329496383667,0.9499866962432861
drift_structure,visual,1,7,35,0.10337960720062256,0.3301175832748413,,0.3131599426269531,0.10851739346981049,1.467633843421936,0.9863922595977783,0.9765233397483826,172.22286987304688,0.09811611473560333,8.381570816040039,8.845669746398926,0.9475337862968445
drift_structure,visual,1,8,40,0.10664552450180054,0.3395693004131317,,0.31406113505363464,0.10229320824146271,1.4472558498382568,0.9744857549667358,0.9674279093742371,171.35585021972656,0.10128080099821091,8.414607048034668,8.823784828186035,0.95362788438797
drift_structure,visual,1,9,45,0.10911903530359268,0.3445401191711426,,0.3167092204093933,0.10758750885725021,1.5013494491577148,0.9670056700706482,0.9765698909759521,172.9014434814453,0.0972503125667572,8.379690170288086,8.886219024658203,0.9429984092712402
drift_structure,visual,1,10,50,0.1077534556388855,0.3338357210159302,,0.32277390360832214,0.10858778655529022,1.4988449811935425,0.9765698909759521,1.0,171.31515502929688,0.10005839914083481,8.4586763381958,8.95626449584961,0.9444424510002136
drift_structure,visual,2,0,0,0.0,0.0,,0.308087557554245,nan,0.0,nan,nan,inf,nan,8.836917877197266,8.836917877197266,1.0
drift_structure,visual,2,1,5,0.11160969734191895,0.3600190281867981,,0.31001055240631104,0.1039235070347786,1.4923080205917358,nan,0.9382150769233704,172.09649658203125,0.09841158986091614,8.556495666503906,8.853185653686523,0.9664877653121948
drift_structure,visual,2,2,10,0.2229911834001541,0.7202361226081848,,0.30960842967033386,0.1115512028336525,2.185403347015381,0.9321247339248657,0.9146292805671692,168.00106811523438,0.10348773002624512,8.767134666442871,8.859641075134277,0.9895586967468262
drift_structure,visual,2,3,15,0.11466196924448013,0.3764042556285858,,0.3046245276927948,0.098734550178051,1.4743306636810303,0.8959952592849731,0.9213019609451294,172.00717163085938,0.0978064239025116,8.563755989074707,8.772088050842285,0.9762505888938904
drift_structure,visual,2,4,20,0.2177988737821579,0.7002894878387451,,0.3110126256942749,0.10484858602285385,2.0939183235168457,0.9368820786476135,0.9285897016525269,167.43240356445312,0.10344108194112778,8.663198471069336,8.83985710144043,0.9800156950950623
drift_structure,visual,2,5,25,0.10758098214864731,0.34528622031211853,,0.3115704357624054,0.1026785597205162,1.456324815750122,0.8691164255142212,0.939361035823822,171.13400268554688,0.0997636467218399,8.412075996398926,8.8295316696167,0.9527205228805542
drift_structure,visual,2,6,30,0.20436303317546844,0.6518676280975342,,0.3135038912296295,0.0986328050494194,1.9672632217407227,0.9290851354598999,0.9706058502197266,170.05496215820312,0.1009393185377121,8.41672420501709,8.8329496383667,0.9528781175613403
drift_structure,visual,2,7,35,0.10337933152914047,0.33011671900749207,,0.3131599426269531,0.10851787775754929,1.467635154724121,0.89780193567276,0.929599940776825,172.2228546142578,0.09811621159315109,8.381567001342773,8.845669746398926,0.947533369064331
drift_structure,visual,2,8,40,0.19330716133117676,0.6155080795288086,,0.31406113505363464,0.1047108992934227,1.9713808298110962,0.9313514232635498,0.9734329581260681,170.31036376953125,0.0998607948422432,8.381648063659668,8.823784828186035,0.9498926401138306
drift_structure,visual,2,9,45,0.10911896079778671,0.3445398807525635,,0.3167092204093933,0.10758745670318604,1.501348614692688,0.9184070825576782,0.9475281834602356,172.9014434814453,0.09725015610456467,8.379687309265137,8.886219024658203,0.9429980516433716
drift_structure,visual,2,10,50,0.20069706439971924,0.6217883825302124,,0.32277390360832214,0.10482217371463776,2.0097761154174805,0.9475281834602356,1.0000001192092896,170.38198852539062,0.10051209479570389,8.391715049743652,8.95626449584961,0.9369659423828125
drift_structure,visual,3,0,0,0.0,0.0,,0.308087557554245,nan,0.0,nan,nan,inf,nan,8.836917877197266,8.836917877197266,1.0
drift_structure,visual,3,1,5,0.11160969734191895,0.3600190281867981,,0.31001055240631104,0.103923499584198,1.4923080205917358,nan,0.9133296608924866,172.0964813232422,0.09841158986091614,8.556495666503906,8.853185653686523,0.9664877653121948
drift_structure,visual,3,2,10,0.2229911834001541,0.7202361226081848,,0.30960842967033386,0.11155121773481369,2.185403347015381,0.9321247339248657,0.7684836983680725,168.00108337402344,0.10348773002624512,8.767134666442871,8.859641075134277,0.9895586967468262
