kind,shift,metric,k,env_steps,mean,std,median,p25,p75,n
encoder_shift,visual,mse,2,10,1.3044564723968506,0.22128315269947052,1.3116967678070068,1.1671009063720703,1.4398624897003174,200
encoder_shift,visual,mse,3,15,1.2855197191238403,0.2221612185239792,1.2786359786987305,1.1547563076019287,1.4375276565551758,200
encoder_shift,visual,mse,4,20,1.2772679328918457,0.23206627368927002,1.277604103088379,1.136214017868042,1.415560007095337,200
encoder_shift,visual,mse,5,25,1.2769180536270142,0.21931681036949158,1.277693748474121,1.1317658424377441,1.4232114553451538,200
encoder_shift,visual,mse,6,30,1.2542493343353271,0.2308291345834732,1.2733268737792969,1.099560260772705,1.4088783264160156,200
encoder_shift,visual,mse,7,35,1.2466734647750854,0.24149549007415771,1.2470455169677734,1.0769444704055786,1.4116050004959106,200
encoder_shift,visual,mse,8,40,1.238153100013733,0.24656887352466583,1.2328816652297974,1.0830525159835815,1.4144316911697388,200
encoder_shift,visual,mse,9,45,1.2359974384307861,0.24900135397911072,1.2451735734939575,1.086071491241455,1.3882241249084473,200
encoder_shift,visual,mse,10,50,1.2266732454299927,0.2454681694507599,1.2203242778778076,1.0710304975509644,1.3930855989456177,200
encoder_shift,visual,l2,0,0,15.918545722961426,1.2222329378128052,15.996471405029297,15.06082534790039,16.711759567260742,200
encoder_shift,visual,l2,1,5,15.845954895019531,1.3293964862823486,16.002397537231445,15.044569969177246,16.646791458129883,200
encoder_shift,visual,l2,2,10,15.766584396362305,1.3676483631134033,15.869643211364746,14.969412803649902,16.626876831054688,200
encoder_shift,visual,l2,3,15,15.650382995605469,1.3730549812316895,15.668344497680664,14.890006065368652,16.613407135009766,200
encoder_shift,visual,l2,4,20,15.593779563903809,1.438560962677002,15.662053108215332,14.770002365112305,16.485979080200195,200
encoder_shift,visual,l2,5,25,15.5983304977417,1.363950490951538,15.662591934204102,14.74106216430664,16.530473709106445,200
encoder_shift,visual,l2,6,30,15.447918891906738,1.4756953716278076,15.635814666748047,14.52980899810791,16.447021484375,200
encoder_shift,visual,l2,7,35,15.393684387207031,1.5478298664093018,15.473590850830078,14.379607200622559,16.46293067932129,200
encoder_shift,visual,l2,8,40,15.336933135986328,1.5823765993118286,15.385488510131836,14.420326232910156,16.47939682006836,200
encoder_shift,visual,l2,9,45,15.320303916931152,1.6123878955841064,15.461976051330566,14.440406799316406,16.326019287109375,200
encoder_shift,visual,l2,10,50,15.263457298278809,1.5962824821472168,15.306928634643555,14.340019226074219,16.35457992553711,200
encoder_shift,visual,cosine,0,0,0.9721158742904663,0.12768277525901794,0.9907447695732117,0.9111335277557373,1.0550949573516846,200
encoder_shift,visual,cosine,1,5,0.9696761965751648,0.1285882592201233,0.9910845756530762,0.9068827629089355,1.0516144037246704,200
encoder_shift,visual,cosine,2,10,0.9665157794952393,0.1289694905281067,0.9887579083442688,0.9019551277160645,1.046439528465271,200
encoder_shift,visual,cosine,3,15,0.9662075638771057,0.1240064799785614,0.9877442121505737,0.9051320552825928,1.0540372133255005,200
encoder_shift,visual,cosine,4,20,0.9649651050567627,0.12249809503555298,0.982370138168335,0.897946298122406,1.0464494228363037,200
encoder_shift,visual,cosine,5,25,0.9696462750434875,0.11350297927856445,0.9827322959899902,0.9118130803108215,1.0461820363998413,200
encoder_shift,visual,cosine,6,30,0.9648290872573853,0.11899680644273758,0.9837169647216797,0.8991411924362183,1.0428459644317627,200
encoder_shift,visual,cosine,7,35,0.9620515704154968,0.11911823600530624,0.9851012229919434,0.9066340327262878,1.0335133075714111,200
encoder_shift,visual,cosine,8,40,0.9624513983726501,0.1183917298913002,0.9826875925064087,0.9213847517967224,1.0296521186828613,200
encoder_shift,visual,cosine,9,45,0.9650542736053467,0.12158802151679993,0.9919127225875854,0.9236132502555847,1.039328694343567,200
encoder_shift,visual,cosine,10,50,0.9684547185897827,0.12494956701993942,0.9954442977905273,0.9293619394302368,1.0472309589385986,200
encoder_shift,geometry,mse,0,0,0.6664507985115051,0.4518583416938782,0.6563524007797241,0.29666969180107117,0.9848507642745972,200
encoder_shift,geometry,mse,1,5,0.7088783979415894,0.4940580427646637,0.7005010843276978,0.33544453978538513,1.0576789379119873,200
encoder_shift,geometry,mse,2,10,0.7464485168457031,0.512372612953186,0.7653130292892456,0.332450807094574,1.0876643657684326,200
