split,generator,scorer,is_self_scorer,step,n_states,elite_count,mean_elite_overlap,mean_update_cosine,mean_relative_update_error,mean_learned_elite_success_fraction,mean_oracle_elite_success_fraction
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,1,6,30,0.33888888888888885,0.4463773394635328,0.9764750810649602,0.15,0.16666666666666666
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,2,6,30,0.33888888888888885,0.4643553525764177,0.9555447975950785,0.15555555555555556,0.16666666666666666
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,4,6,30,0.3,0.37637014628704785,1.0758930293628992,0.17777777777777778,0.18333333333333335
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,9,6,30,0.2611111111111111,0.23446573976015442,1.2014840636762745,0.21666666666666667,0.22777777777777777
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,19,6,30,0.32222222222222224,0.32589332173026403,1.0631333808089136,0.24444444444444446,0.2777777777777778
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,29,6,30,0.25555555555555554,0.3470839416043754,1.0415704144249471,0.29444444444444445,0.3888888888888889
dev,pd_d192_k3_eval,iter2_multistep_eval,False,0,6,30,0.6111111111111112,0.7232988748088361,0.6811671583647129,0.08888888888888889,0.12222222222222222
dev,pd_d192_k3_eval,iter2_multistep_eval,False,1,6,30,0.4666666666666666,0.5984239280301106,0.8026253920375813,0.15555555555555556,0.16666666666666666
dev,pd_d192_k3_eval,iter2_multistep_eval,False,2,6,30,0.41111111111111115,0.5493455481743837,0.8583275250923735,0.15,0.16666666666666666
dev,pd_d192_k3_eval,iter2_multistep_eval,False,4,6,30,0.43333333333333335,0.520309231763377,0.9260058301052189,0.17777777777777778,0.18333333333333335
dev,pd_d192_k3_eval,iter2_multistep_eval,False,9,6,30,0.36666666666666664,0.31938498680096156,1.1033642107841057,0.20555555555555557,0.22777777777777777
dev,pd_d192_k3_eval,iter2_multistep_eval,False,19,6,30,0.37777777777777777,0.4528670513567569,1.0662388751436027,0.20555555555555557,0.2777777777777778
dev,pd_d192_k3_eval,iter2_multistep_eval,False,29,6,30,0.3333333333333333,0.38989792786100613,1.0262953410764966,0.24444444444444446,0.3888888888888889
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,0,6,30,0.5,0.5465518445773313,0.8201063893723454,0.08888888888888889,0.12222222222222222
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,1,6,30,0.42777777777777776,0.4016674432499898,0.9155867404405607,0.15555555555555556,0.16666666666666666
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,2,6,30,0.4055555555555556,0.49166087438539585,0.9047026354653928,0.1388888888888889,0.16666666666666666
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,4,6,30,0.35555555555555557,0.2930486998024013,1.0897483720866,0.16666666666666666,0.18333333333333335
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,9,6,30,0.25555555555555554,0.14831789372543833,1.288581295453808,0.17777777777777778,0.22777777777777777
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,19,6,30,0.29444444444444445,0.35682539275557157,1.1889651883929997,0.19999999999999998,0.2777777777777778
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,29,6,30,0.22777777777777777,0.229225607203238,1.1910381075303809,0.2388888888888889,0.3888888888888889
dev,iter2_multistep_eval,pd_d192_k3_eval,False,0,6,30,0.48333333333333334,0.5827248797598232,0.8492518024909779,0.08333333333333333,0.12222222222222222
dev,iter2_multistep_eval,pd_d192_k3_eval,False,1,6,30,0.33888888888888885,0.5018404587862924,0.9214832642444485,0.13333333333333333,0.16666666666666666
dev,iter2_multistep_eval,pd_d192_k3_eval,False,2,6,30,0.2944444444444444,0.3953220160163351,1.0508311360782463,0.15555555555555556,0.16666666666666666
dev,iter2_multistep_eval,pd_d192_k3_eval,False,4,6,30,0.18888888888888888,0.14477177419735285,1.237626052950613,0.18333333333333335,0.18888888888888888
dev,iter2_multistep_eval,pd_d192_k3_eval,False,9,6,30,0.22222222222222224,0.11487711215111442,1.404649708815813,0.17222222222222225,0.19444444444444445
dev,iter2_multistep_eval,pd_d192_k3_eval,False,19,6,30,0.26666666666666666,0.3977908721593823,1.1098188377894063,0.18333333333333335,0.19444444444444445
dev,iter2_multistep_eval,pd_d192_k3_eval,False,29,6,30,0.2111111111111111,0.16352494538519863,1.4152557172941764,0.22222222222222224,0.3111111111111111
dev,iter2_multistep_eval,iter2_multistep_eval,True,0,6,30,0.6111111111111112,0.7232988748088361,0.6811671583647129,0.08888888888888889,0.12222222222222222
dev,iter2_multistep_eval,iter2_multistep_eval,True,1,6,30,0.4222222222222222,0.5680244805114513,0.8297800962450353,0.15,0.16666666666666666
dev,iter2_multistep_eval,iter2_multistep_eval,True,2,6,30,0.3499999999999999,0.4883381846114176,0.9436182827876168,0.14444444444444446,0.16666666666666666
dev,iter2_multistep_eval,iter2_multistep_eval,True,4,6,30,0.2944444444444444,0.313122870260668,1.0806697953053768,0.18333333333333335,0.18888888888888888
dev,iter2_multistep_eval,iter2_multistep_eval,True,9,6,30,0.2611111111111111,0.21781842516313135,1.1527881885378,0.17222222222222225,0.19444444444444445
dev,iter2_multistep_eval,iter2_multistep_eval,True,19,6,30,0.24444444444444444,0.3124454644553393,1.0159768529449373,0.19444444444444445,0.19444444444444445
dev,iter2_multistep_eval,iter2_multistep_eval,True,29,6,30,0.23333333333333336,0.2732816783402963,1.1830439391504026,0.2222222222222222,0.3111111111111111
dev,iter2_multistep_eval,pd_d192_k10_eval,False,0,6,30,0.5,0.5465518445773313,0.8201063893723454,0.08888888888888889,0.12222222222222222
dev,iter2_multistep_eval,pd_d192_k10_eval,False,1,6,30,0.41111111111111104,0.36822457079609117,0.9924254242382463,0.15555555555555556,0.16666666666666666
dev,iter2_multistep_eval,pd_d192_k10_eval,False,2,6,30,0.3444444444444444,0.44555321851535723,0.9948211522403495,0.1388888888888889,0.16666666666666666
dev,iter2_multistep_eval,pd_d192_k10_eval,False,4,6,30,0.29444444444444445,0.18649716172698663,1.1906355269916495,0.17222222222222225,0.18888888888888888
dev,iter2_multistep_eval,pd_d192_k10_eval,False,9,6,30,0.3055555555555556,0.4475405323116677,1.0617253504318502,0.16666666666666666,0.19444444444444445
