strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:population_elite:all_rank_consensus,elite_verification,pd_d192_k3_eval,all_rank_consensus,recorded_generator_elites,90,True,False,dev,25,47.44868787032128,23.578876409136736,75.3445296782988,0.72,0.52,0.88,29.0,pd_d192_k3_eval:returned:final,-1.2808756248191202,-3.4055379460548925,0.6607830535725202,0.04,0.0,0.12
pd_d192_k3_eval:population_all:nonself_rank_consensus,population_verification,pd_d192_k3_eval,nonself_rank_consensus,all_recorded_populations,600,True,False,dev,25,50.21177597700607,24.57884645536653,81.00224513003212,0.76,0.6,0.92,29.0,pd_d192_k3_eval:returned:final,1.4822124818656721,-3.2540783457453233,7.771932632057125,0.08,0.0,0.2
pd_d192_k3_eval:population_elite:nonself_rank_consensus,elite_verification,pd_d192_k3_eval,nonself_rank_consensus,recorded_generator_elites,60,True,False,dev,25,47.592479739880694,23.720515697063536,75.52704032383686,0.76,0.6,0.92,29.0,pd_d192_k3_eval:returned:final,-1.1370837552597144,-3.596762929325436,1.4071553829489514,0.08,0.0,0.2
portfolio:returned:score_by_pd_d192_k3_eval,multi_proposer_portfolio,all,pd_d192_k3_eval,all_returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_iter2_multistep_eval,multi_proposer_portfolio,all,iter2_multistep_eval,all_returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_pd_d192_k10_eval,multi_proposer_portfolio,all,pd_d192_k10_eval,all_returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:rank_consensus,multi_proposer_portfolio,all,all_rank_consensus,all_returned_means,3,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:oracle,oracle_ceiling,all,true_simulator_cost,all_returned_means,1,False,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,1,True,False,test,25,135.43876436849857,59.99436477436872,229.2215632860983,0.48,0.28,0.68,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
