run,epoch,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,state_index,update_cosine,base_score_mae_delta_vs_epoch0,base_score_normalized_mae_delta_vs_epoch0,base_topk_overlap_delta_vs_epoch0,elite_overlap_delta_vs_epoch0,relative_update_error_delta_vs_epoch0,selected_elite_true_cost_delta_vs_epoch0,update_cosine_delta_vs_epoch0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.041666666666666664,1.3465446358519562,174.20529437367003,49,-0.1979090156745062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.075,1.0957479398212608,81.96019469079661,52,0.12950727307801826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.2833333333333333,1.142685652075457,16.808784885282627,55,0.20709699119838199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.2333333333333333,1.113625460790728,37.920927410740504,58,0.18899431808940392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.008333333333333333,1.0140617260635532,164.36881500661715,2,0.2068954699427351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.21666666666666665,1.1250532031243314,18.26730485329714,5,0.21435222389100148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.10833333333333334,1.241450769053888,245.20705790780647,8,0.14265442087008218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.06477811932563782,0.0030276388914731306,0.9916666666666667,0.14166666666666666,1.181939893497035,78.41880618212828,11,0.14401915296944498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.20833333333333331,1.2412259550207945,51.40957218370598,14,0.10659410635652865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.06666666666666667,1.2088674518473292,157.0748045725545,17,0.07016282010589228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.225,1.1503059472454091,54.25843042085985,20,0.23238560208614964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.0,1.1938232388306407,63.35607719039349,23,0.06799066476120708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.041666666666666664,1.1406819959359766,195.98414480174173,26,-0.01984687908397059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.010820299270562828,0.0008661131639878849,1.0,0.3,1.0345813487346573,29.063407073110252,29,0.25962301314746383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.17500000000000002,1.0218030603305523,47.8118164303428,32,0.28389956942078837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.35833333333333334,1.0692221648632267,24.384461700069696,35,0.3372186834895803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.4,1.1776253650935846,25.244924549134893,38,0.3754038162191917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.125,1.1437505876691954,97.39718218471454,41,0.14373277270682513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold2_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.31666666666666665,1.1406290139254078,29.632474061511854,44,0.31209639484780793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
