kind,shift,reference,interval,metric,k,env_steps,mean,std,median,p25,p75,n
regrounded_rollout_error,id,,3,l2,5,25,3.004628896713257,1.6404290199279785,2.566159725189209,1.8162249326705933,3.5987424850463867,200
regrounded_rollout_error,id,,3,l2,6,30,4.000074863433838,2.2725977897644043,3.294189929962158,2.3550148010253906,5.042140483856201,200
regrounded_rollout_error,id,,3,l2,7,35,1.9079551696777344,0.7682464122772217,1.7126100063323975,1.3399708271026611,2.3056492805480957,200
regrounded_rollout_error,id,,3,l2,8,40,2.8921353816986084,1.2450300455093384,2.6190590858459473,2.050995349884033,3.396599769592285,200
regrounded_rollout_error,id,,3,l2,9,45,3.9803643226623535,1.6027451753616333,3.6058948040008545,2.85585880279541,4.893520355224609,200
regrounded_rollout_error,id,,3,l2,10,50,2.4009947776794434,1.206587314605713,2.152536392211914,1.5080381631851196,2.7815423011779785,200
regrounded_rollout_error,id,,3,cosine,0,0,-5.9604643443123e-10,8.554668085025696e-08,0.0,0.0,5.960464477539063e-08,200
regrounded_rollout_error,id,,3,cosine,1,5,0.008976643905043602,0.011529403738677502,0.0051153600215911865,0.0030717402696609497,0.009380653500556946,200
regrounded_rollout_error,id,,3,cosine,2,10,0.019818423315882683,0.02660835161805153,0.01032322645187378,0.00531923770904541,0.019464820623397827,200
regrounded_rollout_error,id,,3,cosine,3,15,0.03576505556702614,0.056577518582344055,0.016768604516983032,0.00898393988609314,0.0401795357465744,200
regrounded_rollout_error,id,,3,cosine,4,20,0.013023736886680126,0.015971507877111435,0.007399916648864746,0.004315569996833801,0.013614371418952942,200
regrounded_rollout_error,id,,3,cosine,5,25,0.033905185759067535,0.04825570061802864,0.01833021640777588,0.008855655789375305,0.03753557801246643,200
regrounded_rollout_error,id,,3,cosine,6,30,0.06043151766061783,0.09617148339748383,0.03000500798225403,0.015410393476486206,0.07302279770374298,200
regrounded_rollout_error,id,,3,cosine,7,35,0.012785925529897213,0.012559999711811543,0.008352398872375488,0.0049791038036346436,0.017175689339637756,200
regrounded_rollout_error,id,,3,cosine,8,40,0.0294750165194273,0.03064540959894657,0.0194416344165802,0.011293098330497742,0.03604835271835327,200
regrounded_rollout_error,id,,3,cosine,9,45,0.05466843768954277,0.05113719776272774,0.038008660078048706,0.022150695323944092,0.07106135785579681,200
regrounded_rollout_error,id,,3,cosine,10,50,0.023115994408726692,0.029327739030122757,0.012906074523925781,0.006118804216384888,0.026064440608024597,200
regrounded_rollout_error,id,,5,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,5,mse,1,5,0.01629195362329483,0.01845702715218067,0.010034775361418724,0.006468420382589102,0.017566896975040436,200
regrounded_rollout_error,id,,5,mse,2,10,0.036431167274713516,0.045466575771570206,0.02058667503297329,0.011334196664392948,0.038265928626060486,200
regrounded_rollout_error,id,,5,mse,3,15,0.06605663895606995,0.0983668863773346,0.03370288386940956,0.018431467935442924,0.07614859193563461,200
regrounded_rollout_error,id,,5,mse,4,20,0.10246343910694122,0.15343475341796875,0.050109364092350006,0.03051896207034588,0.11585794389247894,200
regrounded_rollout_error,id,,5,mse,5,25,0.15312577784061432,0.23214669525623322,0.07107767462730408,0.04003419727087021,0.16085156798362732,200
regrounded_rollout_error,id,,5,mse,6,30,0.023162584751844406,0.026000965386629105,0.015678636729717255,0.00932974461466074,0.026136081665754318,200
regrounded_rollout_error,id,,5,mse,7,35,0.05185498297214508,0.049698978662490845,0.032668858766555786,0.021810058504343033,0.06161711737513542,200
regrounded_rollout_error,id,,5,mse,8,40,0.09085119515657425,0.09452793747186661,0.058834560215473175,0.03276089206337929,0.10837613791227341,200
regrounded_rollout_error,id,,5,mse,9,45,0.14401443302631378,0.139264315366745,0.10338333249092102,0.05858799070119858,0.1856355518102646,200
regrounded_rollout_error,id,,5,mse,10,50,0.20580507814884186,0.18305209279060364,0.16770321130752563,0.08085649460554123,0.2513328790664673,200
regrounded_rollout_error,id,,5,l2,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,5,l2,1,5,1.5998843908309937,0.7539396286010742,1.388047695159912,1.114422082901001,1.8365304470062256,200
regrounded_rollout_error,id,,5,l2,2,10,2.3428149223327637,1.227192759513855,1.9881198406219482,1.4751781225204468,2.7105374336242676,200
regrounded_rollout_error,id,,5,l2,3,15,3.06648325920105,1.8109545707702637,2.543776512145996,1.881178855895996,3.8236708641052246,200
regrounded_rollout_error,id,,5,l2,4,20,3.8415963649749756,2.2170064449310303,3.1017656326293945,2.4206690788269043,4.716421127319336,200
regrounded_rollout_error,id,,5,l2,5,25,4.623882293701172,2.8319361209869385,3.6940994262695312,2.772465467453003,5.5568013191223145,200
