condition,anchor_interval,codebook,k,env_steps,mse,drift_over_spread
anchored,5,continuous,5,25,0.1531258076429367,0.16870662569999695
anchored,5,continuous,6,30,0.02316257916390896,0.025732222944498062
anchored,5,continuous,7,35,0.05185496807098389,0.058193471282720566
anchored,5,continuous,8,40,0.09085121005773544,0.10337826609611511
anchored,5,continuous,9,45,0.14401449263095856,0.16859395802021027
anchored,5,continuous,10,50,0.20580512285232544,0.25088179111480713
anchored,5,C128,0,0,0.0,0.0
anchored,5,C128,1,5,0.6120732426643372,0.6440205574035645
anchored,5,C128,2,10,0.7262648344039917,0.7680345177650452
anchored,5,C128,3,15,0.8273379802703857,0.8843375444412231
anchored,5,C128,4,20,0.9407459497451782,1.0238661766052246
anchored,5,C128,5,25,1.0697989463806152,1.1786527633666992
anchored,5,C128,6,30,0.4966936707496643,0.551796555519104
anchored,5,C128,7,35,0.6302884221076965,0.7073318958282471
anchored,5,C128,8,40,0.7655233144760132,0.871077835559845
anchored,5,C128,9,45,0.9001694917678833,1.053804636001587
anchored,5,C128,10,50,1.0031030178070068,1.222808599472046
anchored,5,C512,0,0,0.0,0.0
anchored,5,C512,1,5,0.33637067675590515,0.3539276123046875
anchored,5,C512,2,10,0.4433452785015106,0.46884340047836304
anchored,5,C512,3,15,0.5628713965415955,0.6016505360603333
anchored,5,C512,4,20,0.6862676739692688,0.7469033002853394
anchored,5,C512,5,25,0.8113602995872498,0.8939176201820374
anchored,5,C512,6,30,0.3154849708080292,0.350484699010849
anchored,5,C512,7,35,0.4439341723918915,0.49819856882095337
anchored,5,C512,8,40,0.5661365985870361,0.6441985964775085
anchored,5,C512,9,45,0.7158697843551636,0.8380497694015503
anchored,5,C512,10,50,0.8394203186035156,1.0232751369476318
anchored,5,C2048,0,0,0.0,0.0
anchored,5,C2048,1,5,0.15886397659778595,0.167155921459198
anchored,5,C2048,2,10,0.23218490183353424,0.24553856253623962
anchored,5,C2048,3,15,0.3344633877277374,0.35750630497932434
anchored,5,C2048,4,20,0.45200759172439575,0.4919450283050537
anchored,5,C2048,5,25,0.5828139185905457,0.6421162486076355
anchored,5,C2048,6,30,0.19117292761802673,0.2123815417289734
anchored,5,C2048,7,35,0.27178651094436646,0.3050084114074707
anchored,5,C2048,8,40,0.36485981941223145,0.4151686728000641
anchored,5,C2048,9,45,0.4847269654273987,0.5674570202827454
anchored,5,C2048,10,50,0.5866850018501282,0.715184211730957
anchored,5,C8192,0,0,0.0,0.0
anchored,5,C8192,1,5,0.08745270222425461,0.09201731532812119
anchored,5,C8192,2,10,0.1319834291934967,0.13957419991493225
anchored,5,C8192,3,15,0.1997525691986084,0.2135145515203476
anchored,5,C8192,4,20,0.2849043905735016,0.3100773096084595
anchored,5,C8192,5,25,0.3923998177051544,0.43232718110084534
anchored,5,C8192,6,30,0.12639006972312927,0.14041170477867126
anchored,5,C8192,7,35,0.18714018166065216,0.21001531183719635
anchored,5,C8192,8,40,0.2582342326641083,0.2938409745693207
anchored,5,C8192,9,45,0.3418601155281067,0.400206595659256
anchored,5,C8192,10,50,0.4152337908744812,0.5061807632446289
