shift,k,plan_h,mid,subgoal,lam,init,expert_rank,top1_vs_ideal,regret
id,5,5,2,disc2048,0.75,drift,18.100000381469727,0.5583333333333333,0.1907622367143631
id,8,2,1,none,0.0,true,7.2166666984558105,1.0,0.0
id,8,2,1,none,0.0,drift,32.53333282470703,0.30833333333333335,0.1851806938648224
id,8,2,1,oracle,0.25,true,6.066666603088379,0.725,0.0035384513903409243
id,8,2,1,oracle,0.25,drift,31.108333587646484,0.31666666666666665,0.1789686530828476
id,8,2,1,oracle,0.5,true,5.441666603088379,0.675,0.005577061790972948
id,8,2,1,oracle,0.5,drift,30.116666793823242,0.3333333333333333,0.17655855417251587
id,8,2,1,oracle,0.75,true,4.375,0.575,0.010089202784001827
id,8,2,1,oracle,0.75,drift,32.90833282470703,0.26666666666666666,0.2012496441602707
id,8,2,1,disc2048,0.25,true,5.458333492279053,0.6666666666666666,0.00432750815525651
id,8,2,1,disc2048,0.25,drift,31.875,0.2833333333333333,0.1806829869747162
id,8,2,1,disc2048,0.5,true,5.175000190734863,0.5166666666666667,0.014474966563284397
id,8,2,1,disc2048,0.5,drift,32.30833435058594,0.23333333333333334,0.1988290399312973
id,8,2,1,disc2048,0.75,true,10.408333778381348,0.35833333333333334,0.036460693925619125
id,8,2,1,disc2048,0.75,drift,39.233333587646484,0.175,0.24775005877017975
id,8,3,1,none,0.0,true,40.56666564941406,1.0,0.0
id,8,3,1,none,0.0,drift,66.65833282470703,0.2,0.18062157928943634
id,8,3,1,oracle,0.25,true,33.79166793823242,0.6166666666666667,0.008805127814412117
id,8,3,1,oracle,0.25,drift,61.24166488647461,0.2,0.18425458669662476
id,8,3,1,oracle,0.5,true,24.91666603088379,0.425,0.021127304062247276
id,8,3,1,oracle,0.5,drift,54.375,0.19166666666666668,0.18307922780513763
id,8,3,1,oracle,0.75,true,14.891666412353516,0.26666666666666666,0.04011130332946777
id,8,3,1,oracle,0.75,drift,46.25,0.15833333333333333,0.19660700857639313
id,8,3,1,disc2048,0.25,true,34.32500076293945,0.49166666666666664,0.0103194834664464
id,8,3,1,disc2048,0.25,drift,63.0,0.19166666666666668,0.18182513117790222
