analysis,shift,k,param,method,value,baseline,raw_mse
nn_density,id,5,,pred_to_nn,4.0685224533081055,3.63900089263916,
off_manifold,id,8,2,energy_capture,0.07891613990068436,0.05978308618068695,0.3338620662689209
off_manifold,id,8,5,energy_capture,0.14736056327819824,0.13194285333156586,0.3338620662689209
off_manifold,id,8,10,energy_capture,0.2075589895248413,0.2212519496679306,0.3338620662689209
off_manifold,id,8,20,energy_capture,0.30985143780708313,0.37117987871170044,0.3338620662689209
off_manifold,id,8,30,energy_capture,0.4014745354652405,0.4975653290748596,0.3338620662689209
off_manifold,id,8,50,energy_capture,0.5768507122993469,0.7052250504493713,0.3338620662689209
off_manifold,id,8,80,energy_capture,0.8475840091705322,0.9283661842346191,0.3338620662689209
off_manifold,id,8,120,energy_capture,0.9932814240455627,0.9987743496894836,0.3338620662689209
off_manifold,id,8,160,energy_capture,0.9979449510574341,0.9997656345367432,0.3338620662689209
off_manifold,id,8,192,energy_capture,1.0,1.0,0.3338620662689209
projection_recovery,id,8,2,pca_denoise,0.8456907868385315,0.3338620662689209,
projection_recovery,id,8,5,pca_denoise,0.7880204916000366,0.3338620662689209,
projection_recovery,id,8,10,pca_denoise,0.7185454964637756,0.3338620662689209,
projection_recovery,id,8,20,pca_denoise,0.6240639686584473,0.3338620662689209,
projection_recovery,id,8,30,pca_denoise,0.5447971224784851,0.3338620662689209,
projection_recovery,id,8,50,pca_denoise,0.4355490207672119,0.3338620662689209,
projection_recovery,id,8,80,pca_denoise,0.3389491140842438,0.3338620662689209,
projection_recovery,id,8,120,pca_denoise,0.33365631103515625,0.3338620662689209,
projection_recovery,id,8,160,pca_denoise,0.3337293863296509,0.3338620662689209,
projection_recovery,id,8,192,pca_denoise,0.3338620662689209,0.3338620662689209,
projection_recovery,id,8,1,knn_snap,0.3252564072608948,0.3338620662689209,
projection_recovery,id,8,0.25,knn_soft,0.2960047721862793,0.3338620662689209,
projection_recovery,id,8,0.5,knn_soft,0.2717040479183197,0.3338620662689209,
projection_recovery,id,8,0.75,knn_soft,0.26096001267433167,0.3338620662689209,
projection_recovery,id,8,1.0,knn_soft,0.26377254724502563,0.3338620662689209,
nn_density,id,8,,pred_to_nn,4.82606315612793,4.023979187011719,
off_manifold,id,10,2,energy_capture,0.1111982986330986,0.05978308618068695,0.45569926500320435
off_manifold,id,10,5,energy_capture,0.2208147495985031,0.13194285333156586,0.45569926500320435
off_manifold,id,10,10,energy_capture,0.28329604864120483,0.2212519496679306,0.45569926500320435
off_manifold,id,10,20,energy_capture,0.38519036769866943,0.37117987871170044,0.45569926500320435
off_manifold,id,10,30,energy_capture,0.46473002433776855,0.4975653290748596,0.45569926500320435
off_manifold,id,10,50,energy_capture,0.6197146773338318,0.7052250504493713,0.45569926500320435
off_manifold,id,10,80,energy_capture,0.8590746521949768,0.9283661842346191,0.45569926500320435
off_manifold,id,10,120,energy_capture,0.9948744773864746,0.9987743496894836,0.45569926500320435
off_manifold,id,10,160,energy_capture,0.9985341429710388,0.9997656345367432,0.45569926500320435
off_manifold,id,10,192,energy_capture,1.0,1.0,0.45569926500320435
projection_recovery,id,10,2,pca_denoise,0.7910013794898987,0.45569926500320435,
projection_recovery,id,10,5,pca_denoise,0.7201432585716248,0.45569926500320435,
projection_recovery,id,10,10,pca_denoise,0.6681082844734192,0.45569926500320435,
projection_recovery,id,10,20,pca_denoise,0.5989142656326294,0.45569926500320435,
projection_recovery,id,10,30,pca_denoise,0.5453625917434692,0.45569926500320435,
projection_recovery,id,10,50,pca_denoise,0.47222957015037537,0.45569926500320435,
projection_recovery,id,10,80,pca_denoise,0.4356400966644287,0.45569926500320435,
projection_recovery,id,10,120,pca_denoise,0.4551582336425781,0.45569926500320435,
projection_recovery,id,10,160,pca_denoise,0.4555057883262634,0.45569926500320435,
projection_recovery,id,10,192,pca_denoise,0.45569926500320435,0.45569926500320435,
projection_recovery,id,10,1,knn_snap,0.4399021863937378,0.45569926500320435,
projection_recovery,id,10,0.25,knn_soft,0.4139343202114105,0.45569926500320435,
projection_recovery,id,10,0.5,knn_soft,0.38525867462158203,0.45569926500320435,
projection_recovery,id,10,0.75,knn_soft,0.3696722984313965,0.45569926500320435,
projection_recovery,id,10,1.0,knn_soft,0.3671751618385315,0.45569926500320435,
nn_density,id,10,,pred_to_nn,4.907498359680176,4.107584476470947,
off_manifold,visual,1,2,energy_capture,0.02147737704217434,0.05978308618068695,0.11160969734191895
off_manifold,visual,1,5,energy_capture,0.04714196175336838,0.13194285333156586,0.11160969734191895
off_manifold,visual,1,10,energy_capture,0.08322081714868546,0.2212519496679306,0.11160969734191895
off_manifold,visual,1,20,energy_capture,0.17044618725776672,0.37117987871170044,0.11160969734191895
off_manifold,visual,1,30,energy_capture,0.270407497882843,0.4975653290748596,0.11160969734191895
off_manifold,visual,1,50,energy_capture,0.4529961347579956,0.7052250504493713,0.11160969734191895
off_manifold,visual,1,80,energy_capture,0.7603608965873718,0.9283661842346191,0.11160969734191895
off_manifold,visual,1,120,energy_capture,0.9356449246406555,0.9987743496894836,0.11160969734191895
off_manifold,visual,1,160,energy_capture,0.9728982448577881,0.9997656345367432,0.11160969734191895
off_manifold,visual,1,192,energy_capture,1.0,1.0,0.11160969734191895
projection_recovery,visual,1,2,pca_denoise,0.41589227318763733,0.11160969734191895,
projection_recovery,visual,1,5,pca_denoise,0.40464314818382263,0.11160969734191895,
projection_recovery,visual,1,10,pca_denoise,0.3865189254283905,0.11160969734191895,
projection_recovery,visual,1,20,pca_denoise,0.33848875761032104,0.11160969734191895,
projection_recovery,visual,1,30,pca_denoise,0.2985035479068756,0.11160969734191895,
projection_recovery,visual,1,50,pca_denoise,0.23186974227428436,0.11160969734191895,
projection_recovery,visual,1,80,pca_denoise,0.15068665146827698,0.11160969734191895,
projection_recovery,visual,1,120,pca_denoise,0.1120607778429985,0.11160969734191895,
projection_recovery,visual,1,160,pca_denoise,0.11168494075536728,0.11160969734191895,
projection_recovery,visual,1,192,pca_denoise,0.11160969734191895,0.11160969734191895,
projection_recovery,visual,1,1,knn_snap,0.6584721803665161,0.11160969734191895,
projection_recovery,visual,1,0.25,knn_soft,0.13797849416732788,0.11160969734191895,
projection_recovery,visual,1,0.5,knn_soft,0.2029121071100235,0.11160969734191895,
projection_recovery,visual,1,0.75,knn_soft,0.3064105212688446,0.11160969734191895,
projection_recovery,visual,1,1.0,knn_soft,0.44847372174263,0.11160969734191895,
nn_density,visual,1,,pred_to_nn,9.767410278320312,10.712776184082031,
off_manifold,visual,3,2,energy_capture,0.024123644456267357,0.05978308618068695,0.3097400367259979
off_manifold,visual,3,5,energy_capture,0.0537368506193161,0.13194285333156586,0.3097400367259979
off_manifold,visual,3,10,energy_capture,0.09445831179618835,0.2212519496679306,0.3097400367259979
off_manifold,visual,3,20,energy_capture,0.19076518714427948,0.37117987871170044,0.3097400367259979
off_manifold,visual,3,30,energy_capture,0.29498806595802307,0.4975653290748596,0.3097400367259979
off_manifold,visual,3,50,energy_capture,0.48168104887008667,0.7052250504493713,0.3097400367259979
off_manifold,visual,3,80,energy_capture,0.8278053402900696,0.9283661842346191,0.3097400367259979
off_manifold,visual,3,120,energy_capture,0.9752885699272156,0.9987743496894836,0.3097400367259979
off_manifold,visual,3,160,energy_capture,0.9902622103691101,0.9997656345367432,0.3097400367259979
off_manifold,visual,3,192,energy_capture,1.0,1.0,0.3097400367259979
projection_recovery,visual,3,2,pca_denoise,0.4135012924671173,0.3097400367259979,
